"";"tabel";"kolom";"subroutine";"aanwezig"
"1";"AUTOMATION_SCRIPT";"SOURCE_CODE";"AS_BATCH_GROUP_NAME";1
"2";"AUTOMATION_SCRIPT";"SOURCE_CODE";"AS_CHRGMGR_RECORD_INSERTED";1
"3";"AUTOMATION_SCRIPT";"SOURCE_CODE";"AS_CHRGMGR_RECORD_SELECTED";1
"4";"AUTOMATION_SCRIPT";"SOURCE_CODE";"AS_LOGIN";1
"5";"AUTOMATION_SCRIPT";"SOURCE_CODE";"AS_PROJECT_ABTSAVE";1
"6";"AUTOMATION_SCRIPT";"SOURCE_CODE";"ET_BATCH_ABOUT_TO_SAVE";1
"7";"BASIC_SCHEDULER";"SOURCE_CODE";"JUNK_SCHED_TEST";2
"8";"BASIC_SCHEDULER";"SOURCE_CODE";"SCHED_BASIC_SCHEDULER_GEN";1
"9";"BASIC_SCHEDULER";"SOURCE_CODE";"SCHED_BASIC_SCHEDULER_MGMT";1
"10";"BASIC_SCHEDULER";"SOURCE_CODE";"SCHED_BASIC_SCHEDULER_VAST";1
"11";"BASIC_SCHEDULER";"SOURCE_CODE";"SCHED_BASIC_SCHEDULER_WATER";1
"12";"BASIC_SCHEDULER";"SOURCE_CODE";"SCHED_START_COA_PROCESS";1
"13";"BATCH_AUDIT_LOG";"TRANS_STRING";"F6";230
"14";"CALCULATION";"SOURCE_CODE";"CC_FACTOR_ICP_MET";75
"15";"CALCULATION";"SOURCE_CODE";"CONVERT_EXPSTRING";1
"16";"CALCULATION";"SOURCE_CODE";"FN_DUMMYCALC_ICP_MINMET_12";2
"17";"CALCULATION";"SOURCE_CODE";"QC_CALCULATE";1
"18";"CALCULATION";"SOURCE_CODE";"QC_REC";1
"19";"CALCULATION";"SOURCE_CODE";"QC_RPD";1
"20";"CODE_SNIPPETS";"SOURCE_CODE";"FN_ERROR_TRAP";5
"21";"CODE_SNIPPETS";"SOURCE_CODE";"T_FN_ERROR_LOG";4
"22";"CODE_SNIPPETS";"SOURCE_CODE";"T_FN_ERROR_LOG_SQL";1
"23";"CODE_SNIPPETS";"SOURCE_CODE";"T_FN_ERROR_RAISE";2
"24";"CODE_SNIPPETS";"SOURCE_CODE";"T_FN_ERROR_TRAP";5
"25";"EVENTS";"FORMULA";"ET_PROJECT_CLOSED";1
"26";"EVENTS";"FORMULA";"ET_PROJECT_CREATED";1
"27";"EVENTS";"FORMULA";"ET_QC_LOGGED";7
"28";"FORMAT_CALCULATION";"CALCULATION";"CHECK_MIN_VALUES";1
"29";"MENU_ROUTINE";"SOURCE_CODE";"C_ROUTINE_CALLING";153
"30";"MENU_ROUTINE";"SOURCE_CODE";"FN_AB_CREATE_CONTACT";2
"31";"MENU_ROUTINE";"SOURCE_CODE";"FN_ADD_DIST_LIST_TO_PROJECT";1
"32";"MENU_ROUTINE";"SOURCE_CODE";"FN_ADD_FUNCTIONAL_PRIV";1
"33";"MENU_ROUTINE";"SOURCE_CODE";"FN_ADD_PEOPLE_TO_DIST_LIST";1
"34";"MENU_ROUTINE";"SOURCE_CODE";"FN_AUTO_SAMPLE_REGISTRATION";1
"35";"MENU_ROUTINE";"SOURCE_CODE";"FN_BM_EJSPLOT";1
"36";"MENU_ROUTINE";"SOURCE_CODE";"FN_CM_CQ_ADD_COST_ITEMS";2
"37";"MENU_ROUTINE";"SOURCE_CODE";"FN_CM_OGM_INVOICES_PROCESS";1
"38";"MENU_ROUTINE";"SOURCE_CODE";"FN_CM_SET_ACCOUNT_CUSTOMER";2
"39";"MENU_ROUTINE";"SOURCE_CODE";"FN_CM_SET_MASTER_CONTRACT";2
"40";"MENU_ROUTINE";"SOURCE_CODE";"FN_COST_ITEM_RESULT_GRID";1
"41";"MENU_ROUTINE";"SOURCE_CODE";"FN_CUSTOMER_CREATE";2
"42";"MENU_ROUTINE";"SOURCE_CODE";"FN_EDIT_TESTS";1
"43";"MENU_ROUTINE";"SOURCE_CODE";"FN_EXPORT_VELDFORMULIER_W";1
"44";"MENU_ROUTINE";"SOURCE_CODE";"FN_IMPORT_VELDFORMULIER_W";1
"45";"MENU_ROUTINE";"SOURCE_CODE";"FN_PROSPECT_TO_CUST";2
"46";"MENU_ROUTINE";"SOURCE_CODE";"FOLDER_MGR_EXPORT_ERESULTS";1
"47";"MENU_ROUTINE";"SOURCE_CODE";"MENU_FM_NEW_FOLDER";1
"48";"MENU_ROUTINE";"SOURCE_CODE";"MN_ALG_ANALYSE_DUP_PM";1
"49";"MENU_ROUTINE";"SOURCE_CODE";"MN_ALG_SHOW_BATCH";2
